Time coordinates[0] coordinates[1] coordinates[2] velocity_probe[0] velocity_probe[1] velocity_probe[2]
26799.200000 2280.000000 1000.000000 270.000000 9.802324 -1.141661 0.026242 
26799.600000 2280.000000 1000.000000 30.000000 7.402417 0.369500 -0.117297 
26799.600000 2280.000000 1000.000000 150.000000 9.030660 -0.010948 0.042145 
26799.600000 2280.000000 1000.000000 270.000000 9.803300 -1.149141 0.009919 
26800.000000 2280.000000 1000.000000 30.000000 7.376074 0.355705 -0.140629 
26800.000000 2280.000000 1000.000000 150.000000 9.068585 0.000195 0.100301 
26800.000000 2280.000000 1000.000000 270.000000 9.792522 -1.166065 -0.010316 
26800.400000 2280.000000 1000.000000 30.000000 7.335082 0.355932 -0.158530 
26800.400000 2280.000000 1000.000000 150.000000 9.107336 0.019352 0.150750 
26800.400000 2280.000000 1000.000000 270.000000 9.774455 -1.187707 -0.028569 
26800.800000 2280.000000 1000.000000 30.000000 7.280740 0.370377 -0.168665 
26800.800000 2280.000000 1000.000000 150.000000 9.140524 0.036949 0.177735 
26800.800000 2280.000000 1000.000000 270.000000 9.753324 -1.206660 -0.040400 
26801.200000 2280.000000 1000.000000 30.000000 7.217738 0.398135 -0.170840 
26801.200000 2280.000000 1000.000000 150.000000 9.163999 0.043812 0.173637 
26801.200000 2280.000000 1000.000000 270.000000 9.732314 -1.216621 -0.043404 
26801.600000 2280.000000 1000.000000 30.000000 7.152814 0.437898 -0.165790 
26801.600000 2280.000000 1000.000000 150.000000 9.177269 0.035854 0.142313 
26801.600000 2280.000000 1000.000000 270.000000 9.713208 -1.214478 -0.037308 
26802.000000 2280.000000 1000.000000 30.000000 7.092386 0.488150 -0.154316 
26802.000000 2280.000000 1000.000000 150.000000 9.182700 0.015115 0.095215 
26802.000000 2280.000000 1000.000000 270.000000 9.696369 -1.200815 -0.023490 
26802.400000 2280.000000 1000.000000 30.000000 7.040958 0.546589 -0.137092 
26802.400000 2280.000000 1000.000000 150.000000 9.182783 -0.012921 0.044991 
26802.400000 2280.000000 1000.000000 270.000000 9.681096 -1.178915 -0.004384 
26802.800000 2280.000000 1000.000000 30.000000 7.000385 0.609947 -0.115088 
26802.800000 2280.000000 1000.000000 150.000000 9.179363 -0.043744 0.000417 
26802.800000 2280.000000 1000.000000 270.000000 9.666337 -1.152890 0.017083 
26803.200000 2280.000000 1000.000000 30.000000 6.970477 0.674218 -0.090032 
26803.200000 2280.000000 1000.000000 150.000000 9.173963 -0.075539 -0.034570 
26803.200000 2280.000000 1000.000000 270.000000 9.651399 -1.126357 0.037670 
26803.600000 2280.000000 1000.000000 30.000000 6.949916 0.735284 -0.064059 
26803.600000 2280.000000 1000.000000 150.000000 9.168344 -0.107810 -0.059123 
26803.600000 2280.000000 1000.000000 270.000000 9.636395 -1.101951 0.054457 
26804.000000 2280.000000 1000.000000 30.000000 6.937061 0.789576 -0.038710 
26804.000000 2280.000000 1000.000000 150.000000 9.164155 -0.139594 -0.073207 
26804.000000 2280.000000 1000.000000 270.000000 9.622070 -1.081477 0.066354 
