Wind [m/s],Pitch [deg],Power [MW],Power Coefficient [-],Aero Power Coefficient [-],Rotor Speed [rpm],Tip Speed [m/s],Thrust [MN],Thrust Coefficient [-],Torque [MNm],Torque Coefficient [-],Blade Moment [MNm],Blade Moment Coefficient [-]
9.027284445,0,9.16796703,0.446807039,0.463654294,6.413478202,81.34560262,1.769006754,0.778275899,14.16527733,0.051762629,47.10065865,0.172114804
9.385612468,0,10.285211,0.446009075,0.463654294,6.668054091,84.57452591,1.912231524,0.778275899,15.3121461,0.051762629,50.91408728,0.172114804
9.780037514,0,11.61723699,0.445245595,0.463654294,6.948275286,88.12872244,2.076329519,0.778275899,16.62615668,0.051762629,55.28327559,0.172114804
10.20964776,0,13.19441511,0.444504551,0.463654294,7.253493977,91.99997569,2.262750944,0.778275899,18.11892158,0.051762629,60.246836,0.172114804
10.65845809,3.03577E-18,15,0.444146721,0.463830246,7.499245856,95.11697929,2.445421085,0.77176172,19.94700312,0.05228708,65.06406151,0.170552428
10.67345004,0.502741716,15.00000129,0.442277837,0.461878536,7.499245856,95.11697929,2.374099427,0.747149663,19.94700475,0.052140303,63.03156866,0.16476083
11.17037214,3.722313352,14.99997096,0.385838745,0.402938199,7.499245856,95.11697929,1.957107694,0.562338457,19.94696441,0.047604393,50.88190311,0.121432116
11.6992653,5.397504715,15.00000934,0.335841302,0.350724989,7.499245856,95.11697929,1.769407034,0.463477777,19.94701544,0.043397653,45.19184036,0.098321467
12.25890683,6.769022258,15.00000063,0.291913641,0.304850558,7.499245856,95.11697929,1.630903262,0.389083718,19.94700387,0.03952571,40.87247462,0.080990288
12.84800295,7.992667434,15.00000011,0.253572834,0.264810577,7.499245856,95.11697929,1.518563786,0.329822385,19.94700317,0.035984204,37.2738695,0.067241706
13.46519181,9.127806426,14.99994712,0.220277652,0.230039833,7.499245856,95.11697929,1.42341406,0.281465071,19.94693271,0.032760954,34.143606,0.056077649
14.10904661,10.20387933,15.00008082,0.191478025,0.199963875,7.499245856,95.11697929,1.34086161,0.241494345,19.94711051,0.029839405,31.35304006,0.046901834
14.77807889,11.23786246,15.00005209,0.166631525,0.174016237,7.499245856,95.11697929,1.268112605,0.208180574,19.9470723,0.027198735,28.82453455,0.039303556
15.470742,12.23993243,15.00003592,0.145236981,0.151673538,7.499245856,95.11697929,1.203365205,0.180257568,19.94705079,0.024817721,26.50894636,0.032981901
16.18543466,13.21666068,15.00002562,0.126834454,0.132455455,7.499245856,95.11697929,1.145331244,0.156747535,19.9470371,0.022674366,24.37178606,0.027704105
16.92050464,14.17237664,15.00001835,0.11101207,0.11593186,7.499245856,95.11697929,1.093051025,0.136877529,19.94702743,0.020747084,22.38778658,0.02328574
17.67425264,15.10996628,15.00001281,0.097406244,0.101723057,7.499245856,95.11697929,1.04578035,0.120026379,19.94702006,0.019015222,20.53759459,0.019578209
18.44493615,16.03132096,15.00000835,0.085699517,0.089497516,7.499245856,95.11697929,1.002922818,0.105689427,19.94701414,0.017459391,18.8059137,0.016460599
19.23077353,16.93766652,15.00000488,0.075617007,0.078968173,7.499245856,95.11697929,0.963988514,0.093453742,19.94700953,0.016061636,17.18016063,0.013833727
20.02994808,17.82971318,15.00000233,0.066922199,0.069888031,7.499245856,95.11697929,0.928566124,0.082979637,19.94700612,0.014805517,15.64986585,0.011615996
